,c1,Cost of living,Housing cost,Housing,Homelessness,Crime,Drugs and addiction,Jobs and employment,Parks and green spaces,Transit,Walkability,Safety,Downtown,Social services and supports,Traffic,Programs for children,Programs for seniors,Programs for persons with disabilities,People and sense of community,Condition of roads and sidewalks,Recreational facilities and programs,Events and attractions,Health care,Schools and education,Child care,City governance,Local businesses,Entertainment/amenities,Weather,Taxes
273,"My wife and I are both scared to go out at night in our neighbourhood. There are always fireworks going off, kids yelling in the street at all hours because the parents aren't parenting, and all the abuse, knife, gun, and drug activity happens either here or in a neighbourhood very similar to ours.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Crime and drugs are a huge issue. Priorities of council and mayor are wrong. People with zero experience or common sense running city into becoming a wasteland,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
275,I want more housing for homeless and affordable housing.more for single father s,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,"Affordable housing is a scam. Pricing is no different and most of these places you have to pay condo fees that are through the roof, property taxes are higher than ever and yet the value of my place has gone down not sure how you guys it's right but what can you do you all do what you want.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
277,The environment and law and order are quite excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,The neighbors are friendly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
279,Edmonton keeps getting better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,I think Edmonton is a great place. I feel proud to live here.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Nothing at this time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,More and more I find that drivers do not yield to pedestrians at uncontrolled intersections.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,the turning lights on some city locations are out of date should be a least 8 extra seconds on the sections,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,I find it interesting you specifically ask about Fire and Bylaw funding/support but don't identify Policing and what support the survey participants feel around the funding levels it receives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Ensure city infrastructure projects like for example the new yet often delayed and still unopened VALLEY LINE LRT is finished on time and WITHIN BUDGET!,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,"Edmonton is not a safe city. There are homeless people, mental health people, gang thugs etc. everywhere in the downtown area and on public transportation. I don't let my teenager be downtown, I don't let my teenager take the LRT. And this is coming from a parent who let my child, before becoming a teenager, take public transportation by himself in major Asian and European cities.",0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Prioritize people needs ahead of personal pet projects.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
290,"The security, safety and financial situations in the city should be prioritized.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,More job opportunities for citizens.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,More emphasis on developing sustainable communities i.e. renewable energy based neighbourhoods. Less emphasis on fossil fueled road access to high density areas.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,No comment from me.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Too many vagrants and homeless wandering around stealing littering and going into people's yards,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,"Your 311 is a joke, you never respond to issues I have had a pothole behind my house for 3 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
296,We live in an excellent City. Noise is an issue that impacts many Residents and needs to be controlled. People turn their stereos down and drive quietly and carefully in their OWN neighbourhoods where they are known and face social pressures. Make the NOISY suffer consequences wherever they are.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
297,Supply what the majority need not what 2% of complainers demand. If they need it so bad let them pay for it. Get rid of criminals.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
298,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,we are slated for neighbour hood renewal and yet the sidewalks are in good shape with the exception of 2 places where the home owner damaged the sidewalk with excessive salt and the sidewalks here are only 23 years old and the surrounding area is 40 plus years. they should fix the 2 areas sidewalks and leave the rest for at least 15 years as it is a huge waste of resources to tear up perfectly good concrete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
300,"The choices made to fund council pet projects (like drinking in public parks) do not reflect the concerns of the majority of Edmonton residents but rather the vocal minority. The city is looking very shabby and rundown, not a vibrant city that Mayors Iveson or Sohi promised. Add the homeless situation and Edmonton is looking very third world. There is enough tax revenue, spend it smarter and on items the ones who actually pay the taxes want it spent on. Ditch the special interest agendas.",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
301,You have a very user friendly website,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Not much except the downtown homeless people,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Time to start looking where expenses can be reduced like cutting out middle management and overall staffing - too many positions rather than staffing actual working positions.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
304,Make transit safer.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,homeless off the streets,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,"I used to go downtown on transit to walk during the winter. I would have a coffee or a light lunch down there. I did not go downtown for about 3 years due to Covid. About 4 months ago, I went downtown by bus to meet a friend for breakfast. We were shocked by the amount of homeless people that were in the inside walkways. It did not feel safe. We had breakfast at the A&W upstairs in Edmonton Center. While we were eating, a woman began screaming obscenities on the level below us. When we went downstairs, we found a large field of blood splattered on the floor. The woman was gone. I looked at my friend and said I don't feel safe, I am going home. He agreed with me. We will no longer go downtown for any reason.",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,If people are going to buy up properties and then rent them out the owner should have to take responsibility for what there tents do !!!!!!!!!!!!!!!!!!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Stop wasting our tax dollars on things like bike lanes that more than 90 percent of residents will never use.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
309,"Living jus south of the Yellowhead realignment project, updates on a regular basis are important to many who use the city; even if they are passing through.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Better waste collection . We need weekly pick ups on all waste during the summer months not bi- weekly.. Also there needs to be more repairs to our streets in the older areas . ( too many rough or deterioring roads ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
311,Property tax increases over the past 10 years are not in keeping with inflation nor income. Taxes have increased 20% over that period of time....wages and other income (pensions) have not.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
312,Really unhappy with the amount of money invested in bike lanes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
313,For gosh sakes cut back on spending for trying to help anybody you have a commitment to help tax payers not waste it on homeless and climate change and LRT waste!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
314,not really,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,City needs to deliver services more efficiently and efficiently . Dump some levels of midland top management and hold people accountable. This does NOT mean layoff from t line staff.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
317,Quit trying to remove zoning in neighborhoods!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,"Based on my experience: City parking enforcement officers do a great job; EPS is condescending, arrogant, and not really interested in the common citizen. Animal Control is incredibly bad and should be investigated for code of conduct/ethics; they care nothing about people rights when it comes to pet violations; officers refuse to enforce City bylaws and give pet owner tickets.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,"ABOVE GROUND LRT DOWN STONY PLAIN ROAD, IN A COLD WEATHER CITY, WAS DECIDED BY MORONS, EVERYONE IN MY AREAS ARE DISGUSTED WITH WHAT THE CITY HAS DONE. NO THOUGHT AT ALL.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
320,"homeless people are now feeling like they can do what they want and camp where ever they feel and disturb peoples lives. With NO consequence's. Garbage level on streets higher, dangerous drug implements left in open and generally much dirtier in the city on the whole.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,"I'm so disappointed with the new LRT. When we moved here almost 14 years ago, we were told that not only would there be the Mill Woods line, but also a line west to WEM within the next 10 years. I realize that things change but this city could be so much better with better public transportation (a train to the airport)! I don't drive and don't want to drive for climate-change reasons, but am very disappointed with the public transportation situation here.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
322,their is too much homeless in my area and i do not feel safe if i want to go out at night get rid of them jasper place was a great place to live and now it is a drug den and lawlessness the police can not be everywhere,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,Do not see the justification for 100 million for improved bike lanes. The number of users does not justify the tax dollars committed to this.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
324,"Consider the realirpties if a medium sized ( mostly) winter city and the insane ROI on investment/maintenance of bicycle lanes. We will not become Copenhagen or Amsterdam, and need to stop 'œ making a statement.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
325,"Pass a Bylaw that would force every single detached home in Edmonton to have a tree on their front lawn. Many developers ensure that a tree is planted in front of every property however unfortunately this is not enforced by the City so once the community is built, some homeowners fail to keep their tree alive and we see many properties with no tree. This Bylaw would be good for esthetics and also good for the environment.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
326,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Replacing or renovating recreational facilities in older neighbourhoods such as Strathcona and Coronation pools.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
329,The city is taking away too much parking from the downtown area and wasting too much money on a huge park downtown that now we can't go to because there is no parking and transit is never on time and takes too long.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
330,"Edmonton is a city that wants to grow. Growth can be uncomfortable at certain stages. We are very lucky to have a city that takes care of infrastructure (roads, bridges, etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
331,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,Mainly city street maintenance.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,A path was constred last fall. When they removed the snow gravel was shoveled on the green area. Then the placed benches further north facing a garbage can and fence.  Poor planning.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
336,People who are homeless and need treatment for some reason should be helped and they need proper housing when they are out of hospital or treatment. Temporary housing is a waste when they end up on the street again.,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,"I find the city is spending too much money on bike lanes and ruining many city city streets by making wide boulevards and taking away parking for residents. Why are they doing this in neighborhoods. Also, they plan expensive revitalization in neighborhoods but never listen to what the residents want.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
338,No comment at this time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,More help for street people who sleeps anywhere. And garbage collections needs to be everyday and everywhere in the City.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"Not sure how but coordinating services. Too many times I have seen eg. The side walks improved (new walks poured) then in comes EPCOR, installing a new power pole, breaking up the new side walks. the order should have been power pole then sidewalks installation. Have other eg but you get the drift",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
341,"We need to address the groups of homeless people who are putting the general public at risk - be it physically or emotionally. I was robbed and now have spent sleepless nights listening for someone to break into my home, spent money on more security and still feel unsafe in my own home. This should not be the case!",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,Nothing at the moment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,"road repair that would last more than on season, enforcing traffic laws like speeding",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
344,NIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,no issues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,Bylaw seems to only respond to a few complainers. There are way bigger fish to fry than my trailer is parked on the street while we are obviously doing yard improvements.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
348,I think that there should that the number one priority is to make the city safer so put some more resources into that area.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,"We have a beautiful city that most people would love to live. I'm concerned about the saftey of our citizens that take public transit and would hope that the City of Edmonton is able to find a way to help make it a safer way to go to their jobs, take their children to school/daycare.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,"STOP raising taxes, we are dying here, fixed income!!! We are getting no more for the money we are paying in taxes, get your priorities straight, reduce crime, fund police, No bike lanes",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
351,Please stop people using dangerous chemicals on lawns.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,I find that all of Edmonton is looking very unkempt and there is a lot of money wasted on wages for people that don't do their job. Too many employees doing nothing. They should be working instead of talking on their cell phone.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
353,"The cost to go swimming is ridiculous, lower the prices and more people can go, hence better overall health and well-being, which then leads to improvement in all areas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
354,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,"I see a lot of homeless around - I would like to see more help & resources for those that have mental health issues. In regards to theft from property and homes and cars, I would like to see stiffer punishments and better enforcements.",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
356,Tax increases are out of control and provide no help to seniors who need it. None of these questions even addresses senior issues.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
357,"Need sidewalks, back lanes etc repaired in older districts'¦lots of seniors find it difficult walking safely. Back lanes are very uneven, not proper drainage which causes more pot holes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
358,"I feel that Edmonton is not keeping up with safety, in increasing the Police budget, there will be less crime. Simply the Edmonton Police do not have the funds needed to effectively deal with the level of crime in Edmonton.  Infrastructure repair has become a serious issue due to lack of funds and an efficient, comprehensive plan to properly maintain it.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
359,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,The city is doing a lot of things right. I can't think of anything that hasn't already been asked.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,Weed control should be priority - our green spaces are covered with weeds.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,Na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,I appreciate the green spaces the city has. It helps with my well being to see the greenery and it is also good for the environment,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,More and better security at LRT stations and on trains.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,Lrt is coming and would like to see police patrols through our neighbourhood as crime will go up.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,More needs to be done to protect people riding transit and working in downtown.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,The city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,"The City of Edmonton is trying to increase the ridership on public transit - LRT, buses. Nothing seems to work, especially now that some Edmontonians feel unsafe. I no longer take public transit to Winspear, Citadel, Art Gallery, Library. I offer an experiment: make all transit completely free for one year. If ridership shows no increase after one year of $0 fares, usage is never going to increase, and the City of Edmonton can abandon all plans for expansion of the LRT. Spend the current Transit budget on keeping the trains running, clean, and safe.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,"There needs to be more Collision Reporting Centres in the city and trained staff working in them. The wait times in the winter were horrible. I was there 5 hours to report my collision with little help, no signage and total confusion! The police did a better job before the City got private contractors.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,"stop wasting our tax dollars, cut bureaucracy, too many employees doing little work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
371,not at this time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,not sure but would like to see downtown cleaned up and made safer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,"LRT is behind and over budget, it's an embarrassment. Being a major city our transit should be far better!",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,Yes. Why does the city keep starting new visual enhancements when they severely neglect the existing ones?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
375,"Sidewalks in my area are in disrepair (cracked, crumbling) which is a safety issue when I and others go out for walks.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
376,I am not happy about the number of roads that are being reduced to one lane because of bike lanes. What percent of the population ride their bike downtown? People generally drive downtown to go to their office and having one lane of traffic is not enough and causes congestion. Same with Whyte Avenue. This is absolutely ridiculous and is so annoying. It seems like we are catering to a very small percentage of the population.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
377,We need to address the homeless situation. It is becoming a widespread Edmonton problem.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,Better snow removal and at least one more yard waste removal in summer. More accessibility to dumping bins throughout summer. More efficient road maintenance and construction. Preservation of green spaces and wildlife within the city and suburbs.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
379,Overall things are great . From personal experiences fire and rescue services need more funding . Otherwise I'm satisfied .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,"This city is spending too much on biking and lrt extensions . It seems to me that they only care about downtown, which is now an awful place to be thanks to the decisions that our city council has made!",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
381,"Enforcement of dogs on leash, enforcement of vehicular speeds as they are out of control in residential areas, much better winter road maintenance, for a winter city this is absolutely ineffective off of the major routes",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
382,More police involvement with LRT services (on-board and at stations).,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Parking will be a big problem in residential areas with greater density. We have many one story business's - why not have zoning that allows apartments on the 2'nd floor?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
384,The people running this city are far too left thinking. Too much money is being wasted on services/programs (e.g. LRT lines) that won't get maximum use.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
385,for years i've asked the city to paint or get new picnic tables at whitemud park by the river and they are still in bad shape. have to be careful not to get a splinter sitting on them,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,"I know this is a big ask, but parking is atrocious in some areas. I don't know why we can't have some free parking downtown and on Whyte Avenue. Why do you have to charge so much?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,safer LRT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,"The main safety concern I have is with transit. Constant drug use and scary encounters, especially Central and Coliseum",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,"Let's invest more into job creation in Edmonton's municipal government, and at the same time helping the homeless population, by investing money into new programs to run homeless shelters and kitchens, and hire new people to run and administrate those programs, and hire people to create the infrastructure for those programs. This creates economic growth as well as helping to solve our homeless crisis.",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,That's all thank you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,The transit system is horrible.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,"Edmonton has a lot of potential thst is wasted by corporate greed, particularly among the oil companies. Our local Indigenous tribes like the Cree and Plains Cree deserve more support from us.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,There needs to be more social programs to care for the homeless.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,Police presence in bus stations and LRT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,The Drug Epademic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,"More family friendly late night activities, swimming pools and movie theatres open later",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
401,Get your crap together and get the lrt done west end is f'd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,i love and I like it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Awesome looking things for me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,They are selective on the people that get snow cleared and potholes fixed based on tax brackets of communities in this city. Despicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
406,There are many benefits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
